Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron,Concentration
1,28.39545904,36.50728321,49.4878963,62.43212003,71.1075771,23.45615
2,38.1923224,47.68987557,68.94457185,89.48660958,93.07599543,23.592615
3,41.80793253,53.3046191,68.37205858,85.48217091,97.17660027,23.062465
4,48.08071454,61.55028775,82.75194194,102.9388713,111.8601445,23.065945
5,53.49938598,65.13736957,85.47357216,115.6275631,126.9987406,22.97555
6,52.70916878,67.39060516,93.14081503,109.6185043,139.6961206,22.767205
7,57.35739093,69.77590647,89.81173616,111.5223719,124.5056861,22.926265
8,59.16333409,71.91300543,97.90210472,121.8125543,138.7416659,22.97636
9,55.40804718,71.58494062,92.03387705,117.355965,128.8784055,22.72304
10,61.32839573,72.25737573,98.56955567,120.5565009,126.7003045,22.791965
11,56.25678206,68.97678238,98.20781425,121.3541778,132.6104136,22.663705
12,57.57608017,70.41674238,89.88743338,116.3585638,122.2151401,22.985595
13,56.90707576,72.15438863,99.43586979,122.7715844,137.449327,22.55751
14,57.65549336,73.13698695,95.98043593,119.6797487,128.2929653,22.54709
15,58.85330338,71.01989836,90.55665917,113.6990888,127.8573307,22.462205
16,62.24694181,75.62808632,95.91934065,120.2520142,135.8103133,22.50745
17,63.90690924,73.07130712,92.64068254,123.0178529,144.9499702,22.547505
18,58.40557829,72.64221955,99.84737939,133.9970306,142.9236843,22.4317
19,60.45382728,71.38124378,99.69449966,126.7549193,133.460276,22.425095
20,61.40588153,75.02469553,94.14163451,117.2856993,139.2798397,22.638755
21,60.66694951,72.22052472,95.47878269,116.259654,132.8895124,22.543665
22,58.70409799,70.78434213,95.44010493,122.5488097,131.9969579,22.607125
23,59.31189633,72.16430652,96.76150618,125.6489908,149.7484958,22.503995
24,59.95492594,74.4809787,96.11746492,122.8953507,142.8470902,22.583255
25,59.15660294,72.75332393,93.30749996,121.3479749,138.1898908,22.561795
26,59.55629547,72.87409316,91.34250914,112.0417706,129.9742614,22.24994
27,62.47159955,77.43492001,100.25866,124.9879643,140.7873052,22.4768
28,62.70247452,72.98185848,94.24130448,121.9251961,129.9178583,22.571205
29,61.28914863,75.18173083,100.0727959,133.4937071,141.2015872,22.28871
30,66.14097006,76.71797786,97.7441107,119.4493372,136.7592951,22.487425
31,60.99108342,72.01832579,97.75525008,120.1803233,134.7909722,22.40632
32,62.57146669,72.52164873,93.68790128,116.6139003,132.4068693,22.601645
33,60.5512182,70.13461258,91.5155717,113.4061701,144.9793826,22.4886
34,65.03219563,75.35959719,92.50594755,123.2732435,137.9656479,22.28278
35,63.35956189,75.43072247,97.11193312,129.0989771,140.2780869,22.281395
36,60.95643734,73.01967036,94.43326093,115.2151862,138.4948664,22.28936
37,62.07411257,76.89421952,93.72279994,108.7512283,121.9715895,22.25681
38,60.19704551,72.45766066,91.47894404,115.8812065,137.0087883,22.39133
39,61.70887378,73.20033194,93.35608547,116.2178417,124.8762704,22.14126
40,61.95806825,74.4804587,95.70712822,127.3330502,141.976032,22.128375
41,62.55373369,73.47028111,97.67913212,121.0429536,145.6652666,22.170975
42,63.35213516,76.19413398,96.16385549,123.0180954,134.1680969,22.43371
43,61.40384072,75.41347712,96.21953764,120.9991522,144.42262,22.25273
44,61.70784451,73.6180766,93.68648808,112.9563731,124.2121029,22.23907
45,64.2434881,75.30991867,94.73507666,119.2432657,182.8274095,22.152685
46,59.84706885,71.57325932,93.22722619,121.4262096,144.3896876,22.19405
47,62.24137614,74.81280779,94.47131329,112.99824,128.1336233,22.280225
48,63.796458,74.51267843,100.1982255,124.4641192,141.4032688,22.06978
49,59.82463144,71.40486643,91.16790741,120.15309,137.0651888,22.04691
50,59.50054844,70.54077044,90.98749135,123.8609182,160.6206892,22.218795
51,61.73662847,73.10314307,95.1711961,115.8180645,134.3737123,22.023145
52,60.51009678,72.37781824,92.31964275,118.9955648,127.574747,22.21198
53,60.60835902,71.9301875,92.07938927,120.0811022,138.8040723,22.12045
54,64.21958335,73.74955225,90.80732153,123.4229542,131.4428745,22.142675
55,59.93334628,70.15873584,96.79658487,122.0696693,134.5818762,22.11105
56,59.04026965,71.645226,92.46355352,112.9669031,131.8109038,22.095995
57,63.13432546,74.57546549,94.38351577,125.3652053,140.5597688,22.125125
58,59.91102475,71.52644279,90.2633245,126.4927703,138.8545651,22.31384
59,62.50790774,74.80268774,98.62574966,117.9100945,130.1275724,22.16865
60,64.02625399,78.89120371,96.72767977,119.2135575,132.2506851,22.449765
61,61.1186186,74.24643268,92.54964779,114.9705741,132.0795395,22.132435
62,62.32855759,73.50813983,89.46957711,111.409764,122.0639977,21.958865
63,63.9744236,75.59357768,97.62814565,126.5183729,151.3325638,22.235865
64,62.6356648,75.83354729,95.89722183,121.3994162,145.7536901,22.137425
65,62.02034568,70.62697489,92.3105147,119.0454512,129.8303768,22.384085
66,60.57027761,70.35415312,90.67087108,113.663996,126.731328,22.25619
67,59.7123475,73.02334223,92.80238887,111.0065573,120.4517455,22.321685
68,60.87581511,76.11868052,94.46734706,114.2053828,127.3729596,22.185545
69,62.03373658,75.22852479,96.01996242,132.0449446,143.1764668,22.24306
70,62.06163883,72.45850087,90.07997463,116.4944477,130.5383465,22.16464
71,61.79544316,73.64037174,93.00230509,114.1598608,137.7865451,22.1909
72,63.291883,74.46409644,91.37175422,111.0345913,133.6461863,22.313725
73,62.91570219,75.2358994,87.57266117,115.6814329,123.0313651,22.238135
74,64.38338144,78.35760192,98.55069527,119.0192651,139.1084249,22.16621
75,62.68263567,74.08475454,96.96575554,121.6135017,144.3048309,22.01736
76,63.33842166,76.29221731,97.53575429,129.9889791,145.3269182,21.805765
77,63.32129846,75.22009177,100.573062,123.010412,133.1920441,21.97536
78,60.63364691,71.87270155,90.60642334,126.6829367,133.3339885,22.02034
79,60.79979672,74.98172679,93.42982134,111.8948192,128.9321095,22.10047
80,61.68275749,73.90397762,94.91953954,121.4653955,133.6834979,22.06292
81,61.37230657,72.79878824,90.92204561,114.4588382,127.2488245,22.0608
82,61.24286937,72.85027952,93.92842301,120.9439862,127.8469034,21.81403
83,59.31627881,72.51512086,89.26717232,120.7477054,148.4306295,21.902835
84,61.75226557,72.06598201,95.19796049,125.5320655,142.717667,21.83488
85,58.78703081,72.06548702,91.42189216,118.3073423,135.4477802,22.0095
86,61.08147674,71.3361554,87.41668704,109.5057941,124.776741,22.00726
87,61.16990024,69.75199147,87.73906729,108.8191678,124.0394947,22.00037
88,65.29947431,73.52107708,93.7975357,111.2441039,123.8860399,21.77066
89,60.40786132,70.86219029,89.17444732,115.4411819,120.9457042,22.098295
90,65.59627172,74.69257137,95.10598665,119.7933749,134.3571087,22.053415
91,60.736088,71.59751321,91.59167618,118.7169529,136.1327774,21.85643
92,63.33327769,72.22836927,95.34625697,114.1573773,122.1795453,22.00207
93,63.94129027,74.23933618,93.00881558,121.2120641,160.5156463,21.84839
94,60.40067604,71.74512871,92.61314252,123.8570672,135.2995966,21.99483
95,60.39282379,71.9732925,93.33225108,111.8555654,129.0320128,22.50485
96,61.11333839,72.69219927,90.87596585,120.0660603,136.3783104,22.01104
97,62.82588659,73.5791538,94.99254149,120.2446709,131.342852,21.965475
98,60.56770921,69.46996548,88.3190272,114.5469609,139.7770159,21.93253
99,60.95638521,72.53010461,88.63146443,107.9044833,121.4372834,21.959045
100,61.36998851,71.38886447,91.12604447,119.815537,127.5335293,21.97798
101,61.2185819,73.22755549,91.31888979,114.2686378,126.7953364,21.781905
102,61.56517456,74.93467819,95.01035009,129.2843252,136.3945737,22.00787
103,62.8217819,73.33709471,89.53003799,130.430355,176.5460822,22.001865
104,61.25295894,72.71708661,89.9213423,117.1037541,131.5261284,21.909
105,58.77235826,70.11900963,85.74647404,111.9302168,127.9270082,22.015175
106,58.57530239,70.04038181,91.35878598,114.7600213,135.5240096,21.774875
107,62.32213415,70.73623012,92.55450266,116.6812097,132.7904616,21.6707
108,60.06359085,72.00374315,88.64568178,112.0977172,127.8330967,22.026345
109,62.04914832,72.72554164,91.88956115,116.913158,123.224459,21.811205
110,62.85268351,72.33443076,93.84628289,114.0851705,140.0459625,21.74197
111,56.61288971,68.16403245,86.88443281,107.9275774,126.7594849,21.614445
112,61.48880529,71.38184017,90.04151542,121.8743753,133.9771033,21.721815
113,60.96188333,72.36073822,93.34800156,116.3674205,133.8072614,21.73803
114,60.8279406,71.28522807,93.63817958,117.3640578,148.6268379,22.05257
115,62.55220637,72.26101722,89.80436655,128.9587506,149.0119229,21.938625
116,58.3984137,70.34677465,90.33069099,116.9845682,128.5677903,21.824955
117,62.12655038,74.85963321,92.19082869,117.6367611,134.365551,22.018715
118,60.15580408,70.69159923,90.36073415,117.4504339,134.8027327,21.781325
119,60.29362186,72.28003567,89.57007429,110.3295191,126.0956186,21.99836
120,61.10227146,71.72275027,88.07002299,114.8497201,139.3833457,21.832715
121,61.56296323,71.23313707,94.26681078,126.2990598,145.780238,21.38019
,,,,,,21.76402
,,,,,,22.50833
,,,,,,22.57189
,,,,,,20.325515
,,,,,,20.296405
,,,,,,19.41903
,,,,,,19.95606
,,,,,,19.919465
,,,,,,19.66012
,,,,,,18.551045
,,,,,,18.55136
,,,,,,17.91517
,,,,,,17.384905
,,,,,,17.68349
,,,,,,16.59942
,,,,,,16.73644
,,,,,,16.186535
,,,,,,16.63521
,,,,,,15.69276
,,,,,,14.770135
,,,,,,15.832635
,,,,,,13.916885
,,,,,,14.578845
,,,,,,15.826075
,,,,,,14.09997
,,,,,,14.55532
,,,,,,15.510345
,,,,,,13.251045
,,,,,,12.81834
,,,,,,13.2257
,,,,,,11.880755
,,,,,,11.343124
,,,,,,11.42428
,,,,,,11.342404
,,,,,,12.89865
,,,,,,12.465414
,,,,,,9.693685
,,,,,,10.667942
,,,,,,11.1132345
,,,,,,9.8067485
,,,,,,9.8556395
,,,,,,9.5215885
,,,,,,10.0477425
,,,,,,8.640457
,,,,,,8.430825
,,,,,,8.71248
,,,,,,9.1145055
,,,,,,8.144412
,,,,,,7.8246485
,,,,,,6.829008
,,,,,,6.508606
,,,,,,7.148997
,,,,,,6.4232805
,,,,,,6.3815335
,,,,,,7.500587
,,,,,,7.165926
,,,,,,6.070239
,,,,,,6.999374
,,,,,,6.4430155
,,,,,,6.3365175
,,,,,,6.033653
,,,,,,5.9788295
,,,,,,5.322374
,,,,,,5.6215085
,,,,,,5.215658
,,,,,,5.1313335
,,,,,,4.609523
,,,,,,4.806447
,,,,,,5.566409
,,,,,,5.1847195
,,,,,,5.250913
,,,,,,4.923268
,,,,,,4.5632965
,,,,,,5.5213635
,,,,,,5.0154815
,,,,,,4.39826
,,,,,,4.7344765
,,,,,,4.177512
,,,,,,4.7964995
,,,,,,3.996736
,,,,,,4.673529
,,,,,,4.3553565
,,,,,,4.6133125
,,,,,,4.2014685
,,,,,,4.520794
,,,,,,4.2116085
,,,,,,3.9578525
,,,,,,4.3808365
,,,,,,4.936772
,,,,,,4.2008945
,,,,,,4.461176
,,,,,,3.874646
,,,,,,4.058894
,,,,,,4.4574945
,,,,,,4.034495
,,,,,,3.9611495
,,,,,,3.6970725
,,,,,,3.682789
,,,,,,3.9977905
,,,,,,3.96204
,,,,,,3.6762795
,,,,,,3.628242
,,,,,,3.6639705
,,,,,,3.543402
,,,,,,3.6951945
,,,,,,3.5657185
,,,,,,3.659297
,,,,,,3.7300305
,,,,,,3.740902
,,,,,,3.672644
,,,,,,3.5755905
,,,,,,3.4666955
,,,,,,3.441761
,,,,,,3.6161785
,,,,,,3.1188425
,,,,,,3.1231915
,,,,,,3.236214
,,,,,,3.1966905
,,,,,,3.2834585
,,,,,,3.178142
,,,,,,3.3326745
,,,,,,3.6919705
,,,,,,3.3609655
,,,,,,3.1354325
,,,,,,3.1255625
,,,,,,3.489305
,,,,,,3.2813965
,,,,,,3.2094995
,,,,,,3.114914
,,,,,,3.185717
,,,,,,2.94351
,,,,,,3.0815885
,,,,,,3.236657
,,,,,,3.0250835
,,,,,,2.952077
,,,,,,3.106566
,,,,,,3.236148
,,,,,,2.985775
,,,,,,2.9256435
,,,,,,3.010765
,,,,,,3.096337
,,,,,,2.8493985
,,,,,,2.899133
,,,,,,2.855047
,,,,,,3.042145
,,,,,,3.039876
,,,,,,3.050058
,,,,,,3.0574435
,,,,,,2.918353
,,,,,,2.702294
,,,,,,2.737951
,,,,,,2.7488885
,,,,,,2.6812735
,,,,,,2.6585355
,,,,,,2.664255
,,,,,,2.6577445
,,,,,,2.712737
,,,,,,2.7099195
,,,,,,2.8538935
,,,,,,2.730177
,,,,,,2.746258
,,,,,,2.650626
,,,,,,2.6689285
,,,,,,2.6413185
,,,,,,2.694499
,,,,,,2.637106
,,,,,,2.615207
,,,,,,2.663842
,,,,,,2.5445515
,,,,,,2.550816
,,,,,,2.551633
,,,,,,2.555227
,,,,,,2.5779165
,,,,,,2.5715695
,,,,,,2.591665
,,,,,,2.5284715
,,,,,,2.4890375
,,,,,,2.5492055
,,,,,,2.4553155
,,,,,,2.64843
,,,,,,2.4625985
,,,,,,2.550502
,,,,,,2.4590755
,,,,,,2.5332805
,,,,,,2.515036
,,,,,,2.500953
,,,,,,2.494707
,,,,,,2.4823935
,,,,,,2.4562255
,,,,,,2.3962945
,,,,,,2.4317525
,,,,,,2.5272825
,,,,,,2.3900895
,,,,,,2.5247245
,,,,,,2.493594
,,,,,,2.4049935
,,,,,,2.487344
,,,,,,2.399769
,,,,,,2.388072
,,,,,,2.4805125
,,,,,,2.394176
,,,,,,2.362749
,,,,,,2.382596
,,,,,,2.388851
,,,,,,2.5031065
,,,,,,2.411298
,,,,,,2.4038785
,,,,,,2.402345
,,,,,,2.3333285
,,,,,,2.395242
,,,,,,2.3216055
,,,,,,2.3937315
,,,,,,2.36168
,,,,,,2.3488665
,,,,,,2.418738
,,,,,,2.349715
,,,,,,2.346708
,,,,,,2.4229215
,,,,,,2.3426715
,,,,,,2.3085695
,,,,,,2.306733
,,,,,,2.346031
,,,,,,2.2987255
,,,,,,2.275133
,,,,,,2.295036
,,,,,,2.3413595
,,,,,,2.2979265
,,,,,,2.3747465
,,,,,,2.2863225
,,,,,,2.279119
,,,,,,2.3559495
,,,,,,2.336838
,,,,,,2.3166205
,,,,,,2.269758
,,,,,,2.257191
,,,,,,2.3170105
,,,,,,2.2526795
,,,,,,2.320164
,,,,,,2.324027
,,,,,,2.2645825
,,,,,,2.2815305
,,,,,,2.3670125
,,,,,,2.3067365
,,,,,,2.2466845
,,,,,,2.250721
,,,,,,2.2347115
,,,,,,2.21139
,,,,,,2.2214365
,,,,,,2.339389
,,,,,,2.2420195
,,,,,,2.2364675
,,,,,,2.2575125
,,,,,,2.2677525
,,,,,,2.193768
,,,,,,2.246504
,,,,,,2.2268675
,,,,,,2.217956
,,,,,,2.207321
,,,,,,2.1824195
,,,,,,2.2265325
,,,,,,2.193159
,,,,,,2.1650725
,,,,,,2.1625535
,,,,,,2.2272275
,,,,,,2.2029135
,,,,,,2.233277
,,,,,,2.2558565
,,,,,,2.2194095
,,,,,,2.216306
,,,,,,2.194329
,,,,,,2.2288445
,,,,,,2.201635
,,,,,,2.1990825
,,,,,,2.1974595
,,,,,,2.171507
,,,,,,2.1730645
,,,,,,2.200722
,,,,,,2.2059235
,,,,,,2.2474575
,,,,,,2.1996435
,,,,,,2.166662
,,,,,,2.183532
,,,,,,2.2506595
,,,,,,2.175495
,,,,,,2.2150965
,,,,,,2.2063685
,,,,,,2.1573335
,,,,,,2.2192415
,,,,,,2.1903525
,,,,,,2.133632
,,,,,,2.187179
,,,,,,2.165437
,,,,,,2.174366
,,,,,,2.16632
,,,,,,2.154581
,,,,,,2.195349
,,,,,,2.201841
,,,,,,2.2021355
,,,,,,2.12481
,,,,,,2.2121195
,,,,,,2.13472
,,,,,,2.1554355
,,,,,,2.1314025
,,,,,,2.099407
,,,,,,2.211017
,,,,,,2.1589145
,,,,,,2.113972
,,,,,,2.164504
,,,,,,2.167895
