Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron,Concentration
1,27.20636764,31.93135959,41.56377726,54.40625847,65.43164693,22.51693
2,29.71240249,36.55764885,50.90030298,67.58812349,78.50498506,22.500725
3,33.11908469,41.16088923,59.5306854,79.02007386,89.13330283,22.02839
4,36.08462634,46.7319628,64.8125747,97.37481728,107.5250562,21.8788
5,37.6313971,49.79538229,70.31714135,89.60282795,103.4169775,22.013565
6,38.47726706,50.96136697,70.49960157,89.29692117,105.1897716,22.07928
7,42.19472545,53.4325903,73.27326287,99.69108899,114.794615,22.03811
8,43.65422009,54.87910461,75.37456232,95.74415931,120.7496668,21.898765
9,45.34848715,60.04191355,82.32252038,102.6922186,119.2004195,21.90638
10,47.9139064,60.13107822,85.1609645,113.6762189,125.4150315,21.90513
11,46.9533346,61.76599859,82.80530354,109.059122,124.026192,22.0479
12,47.63637142,59.22690864,78.61878781,102.3227211,118.5936402,21.94783
13,50.72416834,64.47044665,86.85511604,116.9415211,124.2291111,21.97683
14,49.65429907,64.73125478,89.49860068,113.8129604,131.5824323,21.5493
15,51.09879166,64.45937752,88.14472578,116.2368786,156.6379158,21.64523
16,51.92509221,66.09227571,88.07959183,106.4704556,113.6723092,21.614285
17,55.79284793,71.34049792,94.56794308,121.0295657,133.6750291,21.569025
18,51.57373835,66.07714241,88.59076487,127.6085986,148.2637512,21.70733
19,50.79229355,65.34250011,89.22497963,117.9906417,129.9767872,21.65294
20,53.50438413,67.01147306,85.11706736,108.4395859,119.9133202,21.333945
21,59.58380486,70.09524622,89.71238275,122.3817974,134.452672,22.040365
22,57.08942418,69.12658627,89.65751935,110.9677276,134.9832205,21.626905
23,54.28643232,70.06192665,90.42344806,121.261219,132.7405042,21.87589
24,57.32952827,69.60801218,93.68305723,116.5095591,123.5127707,21.818125
25,59.31934413,70.06664624,91.52736347,118.4473191,136.8843426,21.868195
26,56.47684708,69.10208157,94.16437138,113.1946869,139.5364527,21.709165
27,58.44361056,70.38618649,87.07113047,102.2726803,116.516161,21.67951
28,56.49878795,69.25124067,90.33324052,109.0123457,120.0227134,21.704845
29,60.05671235,72.25811705,93.5355895,119.2592643,134.5420957,21.343555
30,57.76871864,69.57200622,89.68091169,114.7954727,135.8402394,21.3263
31,61.92739038,71.84942745,95.72603565,113.3422983,128.7970604,21.322585
32,59.53846265,70.33702449,89.91535123,112.0191895,126.7853668,21.84971
33,58.44613748,76.52599783,101.9478111,129.6992884,158.399236,21.60418
34,56.02890836,73.34383742,90.92330691,107.5464033,121.8987991,21.9
35,61.38459127,74.24474999,97.84968054,129.4466408,147.2759036,21.63967
36,58.59586246,70.41152095,94.35435378,111.16833,120.9869681,21.406085
37,59.1786297,72.41619798,90.5954687,114.9185832,168.1703066,21.61875
38,62.08677989,69.34610383,85.78627488,106.4052151,123.8292292,21.44973
39,63.58025844,77.65700057,93.81210887,115.0111631,150.0166895,21.66246
40,56.07468186,69.61767585,90.54783587,111.8542518,128.096589,21.394685
41,57.68442629,69.53029825,91.44785683,119.0629641,135.5678361,21.39565
42,58.76896435,71.16261507,93.93493206,118.0859257,136.2578517,21.583415
43,59.73325823,73.88404518,89.57448409,112.6642869,121.6592653,21.65704
44,62.52969211,74.95428634,97.60836965,121.349361,132.0811283,21.29215
45,61.84661247,72.7884598,97.26474733,117.9911958,126.9036572,21.315485
46,60.30045164,74.17675083,94.44821083,117.7374438,134.9036728,21.61101
47,61.53521935,73.53164728,93.27716105,120.9380905,131.3043198,21.831445
48,66.32030225,77.11962136,94.26907013,111.3587436,128.0641462,21.410335
49,60.93813726,73.96586107,93.36989394,117.0118482,124.5616543,21.142825
50,61.26562417,74.76930184,94.11027457,125.1122446,131.3892097,21.21203
51,67.25232293,77.35469402,94.63237376,116.8886652,129.8224345,21.351595
52,62.9491646,76.08447496,96.9923404,117.4651081,133.4851168,21.63498
53,61.03819564,76.60526257,96.29199797,119.7371236,129.3782453,21.529635
54,62.38017055,72.62331493,88.79945982,110.4872618,127.5071141,21.446005
55,59.7774084,74.23653198,92.62373133,105.3557097,111.0119345,21.26589
56,64.54647102,72.85014663,89.66261424,114.0306673,126.493364,21.45636
57,59.45541196,75.72229803,97.71358267,109.1063151,122.1631561,21.376475
58,62.69449813,75.33010998,94.39384535,118.2032599,129.0604474,21.19715
59,62.3031364,75.20424506,98.09405364,122.0117181,142.2370362,21.58172
60,64.59170668,74.4513239,91.80961292,110.1503881,117.8657593,21.416325
61,63.04458423,80.31683527,94.23731512,115.7951068,126.8526004,21.405685
62,58.43688318,72.55541148,89.04019924,110.8548611,122.7579318,21.05357
63,63.57109929,72.7425441,93.62608515,120.9729037,133.3817028,21.291755
64,64.97913143,75.61725878,96.58483002,113.8086813,130.3602778,21.3919
65,59.65073161,73.76635295,91.50381343,116.1505518,121.7474008,21.167005
66,59.50736925,71.2916891,89.19757036,115.1313286,127.939512,21.16727
67,56.998763,71.59596333,93.22419999,104.6105201,114.8230125,21.37491
68,59.80929692,71.59437402,92.19147189,112.8762289,129.8596928,21.55493
69,63.44805572,76.1080349,91.73528506,113.7129063,125.9977309,21.509455
70,64.10770874,77.96645426,96.79278111,115.6448476,171.380543,21.501025
71,61.45276309,72.3574451,95.37103781,115.2962353,130.7616316,21.31797
72,61.21513415,70.60315111,94.60988313,119.1828925,139.9316234,21.757865
73,62.57617726,73.26924402,93.53365621,118.3458388,129.2057491,21.17028
74,62.53167627,71.97723238,93.63929705,113.6691119,122.2414593,21.254635
75,63.59587469,77.78804719,99.92770852,130.4450697,144.5897763,21.398985
76,61.07898231,72.80711512,96.86870182,118.0453067,127.7238439,21.317255
77,66.30063691,79.55774986,95.55126427,112.6321257,124.2981193,21.36931
78,60.91830267,72.31132572,92.26983185,119.6826288,137.1230204,21.56984
79,63.88952086,72.15547483,95.37791459,115.3003943,129.6617199,21.31162
80,62.38798469,75.51780102,95.44792892,118.9443703,126.9683811,21.65369
81,60.78424646,72.22437917,92.83916416,120.2396982,132.3898561,21.381335
82,62.34998021,73.091386,94.30734188,116.5414396,126.2538969,21.49783
83,60.38482305,73.54949892,93.47659521,119.7459984,134.8441167,21.58899
84,61.65185383,73.73542051,95.78769701,130.1937531,145.5741624,21.45493
85,59.92169608,72.66073213,88.38930484,109.1495898,126.826795,21.450985
86,60.70082924,70.23092309,94.05714868,115.3806765,142.2626081,21.307085
87,61.99232873,75.89049472,94.49215459,113.960019,121.2128975,21.16726
88,62.52036805,72.28138065,87.74314529,100.8560784,115.7492259,21.006555
89,62.71380414,73.55835657,95.52792689,122.8518103,140.3343426,21.083115
90,63.78553062,75.19160775,93.7627688,112.4970726,125.8576935,21.31734
91,64.79253676,76.15087794,93.65532749,117.9936888,131.648295,21.197225
92,63.74229409,72.57635897,93.31924551,124.210396,135.2051526,21.474945
93,61.99154147,76.87883149,94.06543141,119.919135,142.9569199,21.276345
94,62.62378539,73.03415729,90.38182914,109.1521391,120.7769905,20.97065
95,62.70859909,73.09204035,90.87824963,109.2366037,120.9026668,21.435935
96,58.22928525,71.48905041,90.58655012,107.0264807,114.1384146,21.165225
97,59.72359602,69.61689979,86.34225698,102.1323105,110.5689993,21.529465
98,63.06691732,75.22879236,92.76434902,116.1019051,125.2316446,21.43071
99,62.80336847,71.95040116,87.97065867,115.6815758,136.6139769,21.498655
100,62.43414816,76.73569094,99.26414664,126.2820654,143.6310912,21.15461
101,63.39488392,71.93038289,89.27617973,107.3515215,123.2361853,21.219425
102,63.06971842,75.36310921,97.39371345,125.3352236,143.7553441,20.923235
103,61.34454866,73.28791818,87.74578821,109.38452,121.5875276,21.061605
104,63.55652413,73.80007962,93.22131087,118.9536384,131.9740306,21.135425
105,63.06618223,76.00376412,100.7384262,123.8328985,157.298336,20.949835
106,63.98564152,75.54450464,91.82891452,115.2905246,130.7278489,21.03044
107,62.46048487,75.75480069,96.25895566,117.033568,142.1557105,21.21804
108,62.67864202,74.13514953,92.41870576,113.8455958,126.5383905,21.24997
109,62.89810358,73.57284875,93.1512361,114.3214205,138.4453657,20.84871
110,62.77463381,72.06199567,88.01999273,117.4153915,142.6993569,21.06998
111,64.92951993,72.87829408,92.15861008,116.0622108,126.032969,20.79849
112,63.06683913,74.98702027,91.58453666,107.9926062,120.6323633,21.34443
113,62.4094255,76.47921959,95.79396902,119.9565753,142.2240756,21.851515
114,64.20401198,72.11633045,92.27200306,109.6298423,159.3895335,21.13199
115,62.17534755,74.15734631,90.80633205,116.117156,125.1310464,21.268125
116,62.0171824,77.43756762,94.10566931,107.748198,115.9816831,20.998375
117,64.35267683,76.05052406,92.82439267,115.6495021,130.7005146,21.155895
118,63.74978118,73.68820814,91.18520974,111.3763447,124.9754084,21.12636
119,63.00170429,72.37896525,94.7300715,114.3495137,127.4800373,21.207355
120,59.76066949,70.81580231,88.66704908,112.9094989,121.3945724,21.20733
121,63.33706771,74.24879638,91.33819442,113.773014,133.0125988,20.857635
,,,,,,20.755185
,,,,,,20.982325
,,,,,,21.228235
,,,,,,20.995785
,,,,,,19.54754
,,,,,,19.583135
,,,,,,20.15792
,,,,,,19.343475
,,,,,,18.58315
,,,,,,18.152475
,,,,,,17.1147
,,,,,,18.68797
,,,,,,15.23884
,,,,,,15.962495
,,,,,,15.43213
,,,,,,15.4413
,,,,,,15.41007
,,,,,,14.9475595
,,,,,,13.958809
,,,,,,10.3684795
,,,,,,11.5433445
,,,,,,11.3043855
,,,,,,12.988503
,,,,,,11.1760635
,,,,,,11.7023155
,,,,,,9.3246215
,,,,,,8.0131575
,,,,,,8.3826695
,,,,,,7.7649955
,,,,,,8.123215
,,,,,,8.233786
,,,,,,7.7779365
,,,,,,6.841841
,,,,,,6.5253925
,,,,,,6.097845
,,,,,,7.7681315
,,,,,,6.8313205
,,,,,,6.4096055
,,,,,,7.155768
,,,,,,5.3194565
,,,,,,5.4800445
,,,,,,5.379849
,,,,,,5.3453635
,,,,,,4.9092435
,,,,,,5.0834715
,,,,,,5.1970255
,,,,,,4.831764
,,,,,,5.5043985
,,,,,,5.3282365
,,,,,,4.931843
,,,,,,4.9203525
,,,,,,4.566245
,,,,,,4.3299795
,,,,,,4.585858
,,,,,,4.5204825
,,,,,,4.8530565
,,,,,,4.4289995
,,,,,,4.222423
,,,,,,4.411907
,,,,,,5.2628855
,,,,,,4.8263675
,,,,,,4.6237575
,,,,,,3.8329725
,,,,,,3.6183935
,,,,,,3.994398
,,,,,,3.954222
,,,,,,3.3265445
,,,,,,3.6199595
,,,,,,3.6765075
,,,,,,3.7556395
,,,,,,3.6018825
,,,,,,3.2852205
,,,,,,3.269107
,,,,,,3.5402265
,,,,,,3.776853
,,,,,,3.361084
,,,,,,3.9428625
,,,,,,3.335456
,,,,,,3.649553
,,,,,,2.901847
,,,,,,3.057732
,,,,,,3.29505
,,,,,,2.902488
,,,,,,2.9791045
,,,,,,3.06425
,,,,,,2.964101
,,,,,,2.826945
,,,,,,2.997201
,,,,,,2.844904
,,,,,,2.9283985
,,,,,,2.7797225
,,,,,,2.78589
,,,,,,2.5850155
,,,,,,2.745019
,,,,,,2.94796
,,,,,,3.032862
,,,,,,2.920281
,,,,,,2.7849035
,,,,,,2.792737
,,,,,,2.810682
,,,,,,2.783262
,,,,,,2.4275425
,,,,,,2.456269
,,,,,,2.4905365
,,,,,,2.6854445
,,,,,,2.4780105
,,,,,,2.3325305
,,,,,,2.3415415
,,,,,,2.393107
,,,,,,2.597996
,,,,,,2.6112865
,,,,,,2.4634555
,,,,,,2.296047
,,,,,,2.2913155
,,,,,,2.41
,,,,,,2.3322465
,,,,,,2.516494
,,,,,,2.4352095
,,,,,,2.55233
,,,,,,2.478807
,,,,,,2.2820735
,,,,,,2.193943
,,,,,,2.243919
,,,,,,2.325405
,,,,,,2.158953
,,,,,,2.1222565
,,,,,,2.3134145
,,,,,,2.2519355
,,,,,,2.3827285
,,,,,,2.211499
,,,,,,2.0841705
,,,,,,2.227214
,,,,,,2.1271135
,,,,,,2.1688185
,,,,,,2.2724225
,,,,,,2.0146725
,,,,,,2.122105
,,,,,,2.248561
,,,,,,2.130249
,,,,,,2.068847
,,,,,,2.0161275
,,,,,,2.088084
,,,,,,2.0318515
,,,,,,2.0892635
,,,,,,2.043652
,,,,,,2.0276765
,,,,,,2.2135565
,,,,,,2.172005
,,,,,,2.0780305
,,,,,,2.084922
,,,,,,2.0370495
,,,,,,2.1511705
,,,,,,1.9841475
,,,,,,1.955833
,,,,,,1.9984495
,,,,,,1.9256415
,,,,,,2.0199745
,,,,,,2.266224
,,,,,,1.862114
,,,,,,2.003452
,,,,,,2.082485
,,,,,,2.005277
,,,,,,1.913032
,,,,,,1.9973895
,,,,,,2.00131
,,,,,,1.947785
,,,,,,2.017175
,,,,,,1.9491415
,,,,,,1.8523535
,,,,,,1.9051195
,,,,,,1.9685635
,,,,,,1.866014
,,,,,,1.909736
,,,,,,1.877027
,,,,,,1.943781
,,,,,,1.892661
,,,,,,1.9458425
,,,,,,1.9183275
,,,,,,1.9862065
,,,,,,1.8901655
,,,,,,1.7832215
,,,,,,1.8997515
,,,,,,1.9053125
,,,,,,1.8151645
,,,,,,1.9507925
,,,,,,1.943899
,,,,,,1.82968
,,,,,,1.8802905
,,,,,,1.832483
,,,,,,1.8744155
,,,,,,1.7991535
,,,,,,1.9064155
,,,,,,1.8106115
,,,,,,1.854414
,,,,,,1.8341655
,,,,,,1.8751365
,,,,,,1.821861
,,,,,,1.8616645
,,,,,,1.818496
,,,,,,1.7824525
,,,,,,1.8024435
,,,,,,1.798804
,,,,,,1.8827305
,,,,,,2.056145
,,,,,,1.7884345
,,,,,,1.824936
,,,,,,1.8651025
,,,,,,1.850481
,,,,,,1.8073085
,,,,,,1.8387375
,,,,,,1.761747
,,,,,,1.7836775
,,,,,,1.840844
,,,,,,1.9020045
,,,,,,1.842484
,,,,,,1.8586185
,,,,,,1.7994325
,,,,,,1.8321405
