Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron,Concentration
1,53.65024304,70.10718144,96.9200051,121.5249086,143.4034915,399.0026941
2,60.81688894,80.42413882,107.654764,136.4911347,162.2980295,400.2437952
3,63.4881884,79.26168913,114.1740266,146.1038793,161.0485044,400.5243375
4,64.3797084,85.78071285,115.4841098,149.4164534,173.0720988,399.036754
5,66.94194227,84.64696398,116.3238028,147.6899804,167.3346723,397.5652968
6,65.81365574,83.53391776,115.1601758,145.4414913,167.2275068,397.7152994
7,66.77092316,86.57018476,122.1591569,158.412147,186.9679935,397.507256
8,66.23854398,84.91016643,117.0299909,154.9756792,176.4613274,397.962616
9,69.64870746,89.03649199,121.5192847,150.0394519,170.0339847,396.6978815
10,66.41850589,85.83828656,115.8101044,145.5209116,168.0607614,397.212325
11,67.834365,86.45054935,118.7791477,149.193446,172.1846208,398.195544
12,68.02642369,88.09532008,120.1221093,152.5958995,168.4543601,396.3386539
13,65.95983878,85.05935362,117.3551905,150.568501,170.9092107,397.2532664
14,67.40798642,86.57309453,118.4682132,150.1664169,167.0159029,397.2447862
15,68.99286947,87.46442498,119.6765307,157.9300289,187.61104,396.9875297
16,69.17360274,87.74965787,122.2558462,156.8098368,175.1404103,396.1205315
17,68.87545575,88.70048239,120.9425263,153.2904435,170.1268672,396.1598046
18,69.37280887,88.07774903,118.8487101,152.1236967,181.9380955,394.7463883
19,67.70093136,87.57526121,124.9537814,154.7371895,172.5686825,396.2242404
20,71.16523854,89.57013799,122.3258587,152.0334259,169.5411431,394.5484238
21,68.26636843,88.44320817,120.0659065,151.7967719,170.883233,396.7212369
22,67.35744327,87.96366373,121.2019526,149.0291848,165.6571751,397.8803161
23,71.41195457,91.36586639,123.3393974,151.3957885,171.8584571,396.0209932
24,70.33682048,89.47514503,121.7911613,154.4634687,173.2664356,396.3236397
25,68.27167927,86.35498451,117.5535582,150.389028,169.5167996,396.0905727
26,70.01778724,90.97536815,125.9546045,156.32853,178.4372656,396.1573023
27,70.66029978,89.22804869,125.8273839,151.9804413,171.1183835,397.614927
28,71.47592796,91.20657924,128.8684396,160.167744,178.8225186,397.6615682
29,70.66171866,89.59521256,120.2494353,151.5397156,166.470645,397.1928622
30,69.14770107,88.6237796,121.2182776,153.4035927,169.0710152,394.9032028
31,70.39755969,88.11514185,122.1019136,156.0357869,179.3418358,395.526082
32,68.25303296,89.85782824,125.7777449,157.3456423,172.7282656,396.0794511
33,70.38541301,90.42568549,123.1379611,155.5180659,175.4601049,397.5691894
34,68.94375039,86.28188513,119.6364106,150.8632412,176.839255,396.2675451
35,69.29280825,88.41579152,122.354523,153.4644067,174.755917,397.8806637
36,69.54640813,88.90618343,122.8112919,158.168243,176.7106386,395.4838199
37,69.93657796,89.31261423,123.8537611,156.8152436,173.7476781,397.0406353
38,69.52847275,90.50654752,126.1017179,156.3322794,177.2367265,397.00025
39,70.37298845,89.81223507,120.6536202,158.0377064,175.0571292,395.0730853
40,68.41031133,86.80550124,120.3903129,149.6493601,176.0814072,395.4795798
41,71.77983892,90.37049388,124.7749701,156.7015228,178.204023,395.4371092
42,69.13390762,88.71552613,124.2003838,156.5450244,175.3761934,396.4563343
43,69.56305487,86.42395356,118.7171382,151.956285,173.3070643,397.243535
44,70.53245076,91.69199392,125.5121076,158.3498042,183.9580828,399.2256127
45,69.4296333,89.29611276,125.8140928,160.0234459,171.7543365,396.4178953
46,69.61672021,87.98076197,119.3803855,154.1334349,180.4685381,396.4059395
47,70.91399964,88.97139567,123.444629,155.4834329,176.3539982,395.9687216
48,69.8663109,88.17248512,119.8816617,149.4623953,169.9995982,396.1158743
49,75.04421348,91.99238986,124.4482929,159.0041708,183.194351,395.9521087
50,69.1957989,88.93789959,121.5931319,157.7860033,178.8041687,396.2031094
51,69.33256621,89.65204538,124.6053687,156.4089735,178.8248223,396.058459
52,69.25178978,88.49302522,123.9547908,158.3604478,176.1977092,395.033117
53,67.73534057,86.67826615,118.5893475,150.9693191,169.2816667,396.6228802
54,71.05774821,89.93795878,125.3897996,160.1749825,176.591436,396.0318367
55,70.79387061,91.60895559,128.502949,159.3303066,184.2426483,395.1829806
