Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron,Concentration
1,57.44940329,80.135752,112.6681459,147.1593653,159.8476275,0
2,60.01012538,77.97106613,114.6864875,146.6638235,160.2519758,6.606657016
3,65.09705758,83.84428491,118.3264687,155.7183219,182.9247554,98.70195674
4,69.59506313,87.86086962,120.7958798,166.9244721,185.9671741,154.3172066
5,72.5240864,90.2834815,127.2514044,162.1902909,187.2069468,204.0548786
6,76.18157678,94.47747834,126.8964203,170.6516321,180.5295978,239.0904905
7,75.02917098,92.08507358,127.2636901,161.884579,183.3432674,270.2878297
8,73.75903395,95.69059064,134.0925875,177.3124671,198.3244634,289.9732007
9,75.89917378,96.03496625,136.1513993,162.8982422,178.013345,305.1003839
10,80.03753872,104.3333376,137.106155,175.3913983,190.5381738,313.9264857
11,83.66146492,100.4741222,139.2552823,177.7242284,190.8401321,328.61944
12,83.88949024,105.6672211,146.1894535,186.9097233,214.5847605,336.2701276
13,84.71117468,104.4641972,151.2701531,178.4168896,197.9899867,344.7186511
14,83.23398446,103.879476,135.1505175,177.4202107,191.2459439,354.734764
15,81.15575309,102.1050655,134.6235221,169.9828403,201.5888639,368.3678994
16,84.75969809,103.5539181,137.0069234,188.3896467,210.2800782,359.8338091
17,82.04930834,103.3054594,135.4989993,183.8646463,213.5993151,373.9644275
18,83.48672598,106.4531977,142.8642644,180.9867808,189.6130852,386.0459606
19,82.48713233,103.6097106,135.9288092,170.2568126,201.050745,384.4582827
20,84.67533684,105.7631686,136.906446,198.9080358,236.4901148,389.5530877
21,87.65419514,108.9160168,145.3483757,190.6423976,210.5553326,395.0244283
22,86.97104686,107.2714805,143.1714587,184.0814166,202.7124268,397.3988204
23,85.50080751,104.9861681,139.2596319,182.3736363,206.8006408,403.4235301
24,86.07212179,108.1320614,142.7300971,176.6439602,210.5985329,408.5201423
25,84.98443455,106.6492629,137.3374155,171.3219134,201.5655542,412.0066944
26,89.08649692,111.8068206,146.4855158,179.4369971,194.925179,413.7803116
27,86.98224022,105.2561712,140.4089818,179.4746229,198.5692608,423.7620171
28,84.74666321,111.2348057,144.0618196,185.8823004,215.4252269,422.1518875
29,89.1382315,108.1839353,151.013206,194.2620275,210.0995847,429.5373945
30,87.68722811,111.5597449,142.1530797,184.3774411,205.0416709,436.5242616
31,87.59946595,110.7908394,145.1057038,193.3690473,247.8339505,444.1113476
32,87.86179501,105.175591,135.6212211,170.6066456,235.6111098,436.7974359
33,87.79205382,111.188548,136.3982985,171.2259807,216.9053438,444.7623088
34,86.12817788,108.4281211,133.6003568,179.2675198,201.5747951,447.9271686
35,91.4364548,111.2312666,144.733406,194.5580457,232.0070629,443.9058066
36,85.4859122,110.9128513,145.7800869,191.6091139,203.4616157,448.1569687
37,94.0073552,110.7200669,140.5799528,176.8338888,197.3639154,450.8927432
38,88.44496704,107.5147415,138.9090758,176.4554917,192.6470172,458.7430636
39,91.09173021,110.702785,144.0891217,181.9198508,202.3808026,460.0328912
40,91.90565279,107.7746072,146.618601,185.0823464,204.2330018,459.009982
41,93.04965477,114.0205664,142.7469593,171.6217754,185.4441066,460.5225891
42,87.44527961,110.7994836,145.4547406,176.6259272,189.9827373,464.0308978
43,89.57203983,113.150085,145.9710081,195.1422277,218.6670389,463.857957
44,83.95742807,104.5296532,133.8694274,172.9684898,198.2754795,464.0954031
45,89.87682845,108.0776622,137.5212689,184.5865173,203.1471684,482.000345
46,91.10246381,110.7388088,137.6348334,165.2487242,188.0363027,470.8695697
47,91.49185812,109.4916692,137.762861,167.3947225,180.9773616,480.1675053
48,91.2701006,109.8222466,147.1313945,209.8156489,234.6517062,476.0353444
49,89.16704674,109.7404751,147.8061733,193.2961449,231.749141,477.4978348
50,91.87739244,108.2360368,142.2256401,185.0125235,207.3149366,486.9121301
51,92.32717417,108.511344,143.4525855,195.2364486,207.0089396,482.2915224
52,94.87897328,113.5405268,145.2257782,187.2448434,232.6888567,480.4052295
53,95.84458811,114.3396097,145.3861105,184.5618319,201.9663245,476.7504632
54,93.61860023,110.483671,140.7142624,180.216199,199.1165526,487.7816307
55,94.76341851,114.7228548,151.7546486,206.227941,226.980965,483.9885395
56,92.92960475,113.2763104,146.5624984,192.017632,211.0110248,490.0312524
57,87.46486921,105.9699921,136.9921926,171.8923922,201.5485426,496.1743376
58,95.49704841,116.5482709,147.4848259,190.0645316,211.1008366,500.1612922
59,93.22753709,111.4546017,142.9827706,187.629401,225.95939,495.8960196
60,91.66036193,108.836242,147.6459541,182.9540217,201.7168337,491.2852128
61,90.4912312,110.9858347,145.5014016,177.0855096,196.7902221,490.2365154
62,92.47130047,108.765574,142.2927733,187.9639104,212.2011429,502.9741534
63,93.38198506,116.168591,149.0988552,180.9022809,234.9456728,500.1291786
64,95.760572,111.7620811,141.6265722,187.0328396,204.2079707,499.0133346
65,92.35620712,111.284749,142.1808394,172.2136643,192.463895,501.5079094
66,91.12011586,110.3112558,140.8196464,187.2482494,206.7828095,501.216176
67,96.22939262,113.2396611,143.7932251,169.5758543,184.1290632,502.9054775
68,88.25296536,106.946064,138.6583777,197.9725928,217.1507971,504.5034429
69,90.86353594,112.9027296,145.7445187,178.0671423,203.0019875,506.2999288
70,93.67485725,112.9458747,146.1695451,193.3564519,219.0457645,510.7589258
71,89.91098308,113.9255764,139.3477815,173.2091355,193.8837948,509.9480917
72,86.06151866,108.6705933,140.0768855,190.0745825,211.6930303,513.7112241
73,96.54699214,115.3985745,145.4289441,185.4034064,204.9818218,517.8137043
74,93.49817505,113.7294023,148.2528982,194.3791523,210.6115046,519.8469413
75,93.12543966,115.5325771,148.3168957,173.7491906,198.5356353,519.1548997
76,93.8133852,112.9297824,150.9435683,204.3128445,225.1275163,512.6180403
77,89.84593474,114.8673307,147.300617,189.2246616,208.8476996,516.1390693
78,96.42670737,117.4531424,147.9453768,188.8526933,222.9803571,521.3674725
79,96.26257363,113.9599523,144.382229,178.2974545,230.2029096,520.251976
80,95.34720087,111.7378579,143.1884942,181.9329879,201.0566644,520.7763595
81,90.81502323,113.0756531,148.0911852,180.3467423,195.9437997,521.4634658
82,91.96146706,115.0380237,147.9085631,186.3983678,207.8947344,528.5343706
83,92.40589308,112.0764237,138.6634868,174.9584338,189.2220502,529.6477123
84,94.65396646,115.8362775,150.4641538,195.5310835,214.9125952,523.7760635
85,98.338598,115.9379532,153.2564482,187.3995334,224.2444404,521.9558052
86,95.17325283,113.4403,138.4574563,168.7569536,186.141975,526.6295185
87,99.42476764,112.1536119,156.0517631,197.5053847,227.7487374,525.3366325
88,92.81637268,110.6014051,145.4085049,183.6795908,218.3166786,531.6274961
89,88.55800573,111.6993937,143.607279,185.6822907,195.3329106,531.293014
90,96.11654883,114.7340453,143.4415964,182.6873006,201.2364161,528.8153995
91,97.60090078,118.7514412,147.4260518,184.8410377,214.2887298,531.9892956
92,94.86606552,113.7533465,142.3527434,191.2971905,208.1611487,537.8498923
93,91.41681245,113.2750417,144.0514937,193.0888741,219.5238358,532.9305305
94,98.03966524,116.9696139,160.4170502,208.1601371,232.9076596,533.3423078
95,96.46569508,117.922752,151.347052,189.7283423,207.7599738,535.561484
96,96.67960711,115.9852638,143.8044283,182.0557303,205.692829,540.3995191
97,94.58003765,111.7546308,143.8155821,196.0714106,211.7193463,540.2814911
98,96.41782398,117.9190444,150.00713,179.9199202,211.2306815,534.8128613
99,89.79262674,108.9651301,139.4691831,177.0876666,200.2864888,539.5156299
100,95.87463197,118.0284953,152.3853329,192.9637628,227.740105,547.0573259
101,95.43603021,112.5475334,148.1244721,186.7704649,213.4175948,544.2833903
102,90.2537087,111.2897886,150.117072,181.7621065,204.5806846,538.7718729
103,91.86578523,114.0802535,144.7718431,185.5664124,210.3320924,542.5212423
104,92.35928383,114.5624427,140.5493306,178.1944919,198.8047831,542.9289184
105,93.78735356,117.4515326,141.7176558,173.6658669,196.9001923,546.2937585
106,95.74663512,115.4970224,145.729491,181.6619215,206.7817713,545.2406125
107,96.74141205,116.6229153,148.4200414,192.4745431,211.1045082,539.109483
108,95.51155145,115.7377808,144.8418978,176.2928631,194.795979,551.3280898
109,94.03707269,112.4724366,146.5323916,192.9089108,207.148237,544.8243866
110,99.39923386,113.7849202,153.7653993,193.9087344,226.3927429,548.3532703
111,96.89210943,119.7510985,150.3333617,185.3035311,205.4912955,549.7739852
112,93.96329556,113.7074235,145.2945414,194.6318276,216.7883821,546.2085393
113,93.12506924,115.0146386,146.3609758,181.3621105,195.7805692,551.0213422
114,90.12396376,111.4456178,139.2191942,163.9555936,197.7169056,543.503071
115,94.47702033,115.9260625,149.7892371,203.4022739,223.1029344,554.0428028
116,93.62283205,109.3216091,136.3236114,177.467198,198.6920335,547.8871363
117,92.15226441,114.5875663,143.8274647,176.6555343,205.540069,549.1009894
118,99.43200607,114.5651923,144.7566418,178.1649801,191.6324391,558.1165059
119,97.61918327,115.0889294,149.605762,174.0402631,210.845124,565.3574321
120,87.93253089,110.2489677,144.5246158,185.4207885,208.0180191,554.0323763
121,93.92358837,113.9577524,153.158666,187.0479419,207.1033766,557.0115054
122,99.1954303,115.3429496,140.4366779,180.6805446,205.9301211,557.6158949
123,91.86066456,108.2686772,141.3454268,177.4916258,194.8465004,552.6396045
124,100.5469822,115.9494831,146.2126777,187.273405,215.8331016,560.073838
125,97.16690149,113.861883,146.9061996,185.2701423,209.8598917,558.8396184
126,86.18113562,106.8625177,135.2717563,171.8646339,183.1706589,557.6236105
127,91.20316076,115.631207,151.5469315,210.9094179,252.9580973,570.1509112
128,93.52301524,108.431237,138.559023,173.2723297,201.7201315,561.6298193
129,99.01684233,111.3293458,140.886545,179.3349461,200.1311924,566.795594
130,97.76782036,120.9505998,152.3004133,187.8195948,205.1351423,562.652659
131,94.8729328,114.7612988,147.6154017,202.2469117,226.7857675,566.6554618
132,96.31249553,115.6602278,145.7390345,184.4539277,209.8871311,559.2379802
133,98.16380438,116.752606,142.6006242,173.7893002,235.454984,558.4452882
134,92.0035126,115.4731227,144.0160164,174.1792541,191.302513,567.598226
135,95.86708948,113.9789586,143.1715298,178.0798166,190.7468889,567.8906545
136,97.15839794,120.0633724,147.9659576,192.1161944,242.1990399,568.5355683
137,98.77097625,115.3971202,140.449666,169.1711798,190.3030725,559.3939607
138,99.07681461,112.7678707,136.7330966,183.6285185,196.6336649,572.2103535
139,89.35140194,113.800995,146.587153,183.5197676,191.1039368,566.6649847
140,95.5752182,113.2857651,143.2262246,177.8587068,193.0289761,569.9734522
141,96.35546165,114.2982446,148.1104106,204.2904501,238.2308387,562.8985854
142,98.75295537,115.1276777,146.6001161,187.1682764,201.6938585,564.1492093
143,97.82884959,114.3094813,146.0638289,175.7379019,184.1109596,563.7461903
144,96.87876809,115.1357977,153.7731026,183.6251741,198.6241425,567.8258017
145,90.43678306,110.2793226,140.9658526,188.2124971,220.4130312,571.1280828
146,93.95888407,114.8415847,147.8250719,186.7416569,225.3190182,556.7232475
147,85.02021787,115.443721,155.350898,201.093193,219.9023152,567.2377471
148,98.5454573,115.7897887,144.4895135,178.4271637,200.7862963,567.4616388
149,98.07559366,110.9746228,141.7394716,179.4473217,201.4080863,565.2478148
150,95.7924673,111.4327875,139.6558492,180.994863,203.5503724,574.4419025
151,95.69934756,108.0878232,137.3433277,169.2157066,191.8177262,585.3873642
152,93.74145777,110.1113259,138.1897475,177.2046462,189.502979,570.2888886
153,91.62876517,116.5296343,140.6371783,163.9153311,176.8508949,573.9507449
154,98.92638458,117.1684558,145.7850751,193.3980644,203.7978296,570.7245772
155,93.37980186,115.5879819,143.8713564,168.9063592,203.1332182,568.9786251
156,99.96309363,112.5901921,141.3507885,190.3628025,205.5909446,581.6597514
157,95.95942901,117.3346393,151.0647835,189.9880825,206.4142274,583.6156933
158,96.48393064,116.0358632,147.8035731,176.1887238,181.8237491,571.289346
159,89.73964947,107.9659717,136.7531578,163.7086935,189.7167926,576.5188613
160,98.47001771,118.1690538,142.1820685,194.2142045,202.8129643,580.1157258
161,96.32881864,112.0521195,146.0684282,204.991265,213.4459076,572.8725753
162,97.70869338,118.4354353,138.734644,179.8148998,203.7984574,577.4983963
163,94.0555189,117.3967132,145.1585457,179.0402725,200.7799953,581.3422993
164,95.52742229,114.0563684,143.0763364,170.8543419,205.6389626,583.1151518
165,93.70646728,112.0204172,139.9432244,178.9309149,191.9543635,580.1505503
166,97.03669095,117.4197917,149.4099233,190.9292955,211.0376149,583.5766982
167,94.01727811,110.9534048,147.2759536,168.7969291,182.446569,585.0029739
168,96.95875325,112.6508,142.3589666,181.2279862,231.2777104,584.4911718
169,88.74231675,115.3761963,144.1570798,187.2244836,201.4481708,587.4988
170,96.65033178,114.872745,151.2648083,189.2634324,202.4494475,571.3364738
171,98.23161324,120.0433305,158.327853,193.6431194,206.1964191,581.0195643
172,92.40458284,114.1024514,151.7260326,230.2852367,244.8371053,587.3649932
173,96.99723723,122.80649,155.5865011,189.8289081,205.10231,584.2401712
174,98.30313519,109.1072805,136.3775021,173.3716669,187.6125688,585.1243384
175,98.4298136,115.5611441,145.1500638,195.1920018,204.6190657,588.0881057
176,96.13593083,116.2757081,144.8297061,175.3544975,212.328494,591.4635808
177,99.29911186,118.7553319,147.8446775,208.5342554,222.0090076,584.5786849
178,97.12347153,113.7965276,139.8788037,172.7462541,241.8347914,582.7886633
179,100.2563351,116.0917519,149.9573952,202.5753278,217.7417094,587.0322488
180,97.02732521,114.2102536,153.2973768,192.9429632,205.3742484,588.9661561
181,97.83351046,121.2776594,142.6911358,186.4897716,196.923033,586.6462598
182,95.10988961,114.9074242,143.8947295,186.2715128,209.8177962,594.4794807
