Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron,Concentration
1,82.97556812,104.8451814,138.6324506,163.4397681,177.4269329,0
2,80.348934,100.9546625,131.2453657,160.4602912,201.8833248,0.521073894
3,80.80653654,96.13772803,131.78487,175.1774542,193.9188171,0
4,81.21092321,96.71145909,132.6635185,169.8536519,197.9828792,18.2761967
5,80.09883947,98.59542889,135.4089178,163.228655,185.6709869,252.5540909
6,80.8148089,95.4559705,121.5085536,179.4807685,204.0444858,376.0728743
7,86.01485941,101.1891498,135.8718934,168.5686793,200.1348638,449.8126969
8,85.36210684,104.2955419,140.4083069,169.3908246,176.1584108,483.2536798
9,77.98523329,97.75732434,128.4360385,159.1228084,177.1398367,506.33239
10,79.45728692,94.18832362,128.946073,153.8504777,175.44159,523.8675387
11,85.76523242,107.4272695,134.0370216,158.6116753,173.260878,548.0089873
12,89.40861557,106.5835574,142.3320936,180.4821225,202.6155716,555.8492287
13,83.80926155,96.94245762,128.3080673,164.7909951,177.914076,576.4178633
14,85.00929232,101.004145,135.7778053,166.9911028,177.3824007,574.0858723
15,83.92722182,100.7323153,131.6523586,165.6411083,178.2323091,583.5970646
16,86.57052853,105.3558449,141.9355698,172.3041553,182.3514008,598.0216408
17,87.95961072,105.5195777,134.2655049,165.0087559,180.8431895,610.9771927
18,84.17046498,103.7403451,133.7132331,164.5322493,177.0136762,615.3743257
19,89.66905476,106.5090153,141.4935552,164.441139,179.7857859,625.3659712
20,80.05738881,102.2523583,135.6565728,159.8837813,197.7778588,633.0464091
21,87.26108428,108.5067527,144.7361087,174.1664535,183.4883341,628.7441572
22,82.35039336,101.4005987,144.1959009,180.6665647,206.5545879,640.6611601
23,81.92943412,110.4019756,136.2086006,172.4522919,193.1028808,639.9508374
24,82.28929612,102.420795,137.532396,177.1322405,216.5661134,647.587067
25,84.13341626,107.5665248,135.1328976,173.0411742,181.1732246,654.6727774
26,89.53884514,105.5589604,136.3224177,170.599745,192.2270361,657.1873711
27,88.17199334,112.9915993,148.8012761,188.0449266,202.6279128,665.5632566
28,89.69225424,107.7951151,139.0793688,173.1074954,187.1167518,671.3862484
29,86.58386561,102.3256822,128.6529305,156.522732,168.8414764,670.7462698
30,85.35205908,110.9124238,141.0270115,173.0790196,186.886998,670.7012273
31,90.47304226,109.2911627,147.0374665,191.9735207,209.6072259,687.3026482
32,90.30711195,107.6768532,139.1287657,178.9922284,209.6070535,688.88977
33,89.13051858,110.5316852,139.1054575,163.022921,173.8559582,689.6911508
34,88.14985817,109.5592156,137.4240546,176.0656201,222.3899763,688.5766274
35,93.38624255,113.0983846,142.9734044,176.2175497,199.7743015,688.2800283
36,90.10802762,106.7427732,149.7507657,185.7067192,201.5368466,686.5492293
37,83.50678883,102.4691849,133.659084,162.6141932,197.9749169,697.8870749
38,85.10208618,104.6541487,130.2674791,158.7928456,176.527599,696.6372851
39,94.81091593,115.7277682,147.3415863,182.8061187,205.9851157,701.6525011
40,89.79436514,105.2913034,135.1215702,173.3796114,202.5080035,706.8941807
41,83.37744714,103.9953712,141.7181998,178.1690272,212.9262874,699.2147854
42,93.40563508,114.1333473,146.7166261,182.6104943,210.0284134,718.1173348
43,89.67968892,106.1449885,144.1442558,202.728607,216.5136553,711.7679438
44,88.75504574,107.6060513,138.9138964,166.0158533,183.025225,717.1466276
45,89.25843582,102.0838185,132.6634918,159.9012589,182.641766,720.6311639
46,93.59185174,109.3866197,138.768469,167.9870867,179.3473785,712.3799794
